id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8472390,Room in Melbourne called home,3013882,Fleure,,Wyndham,-37.84575731571027,144.71628643318437,Private room,50,1,0,,,1,365
12797768,Clean And Comfy New House,16319616,Airin,,Wyndham,-37.84057044050525,144.7414514846386,Entire home/apt,139,1,15,2017-03-11,1.73,4,234
14272862,Near to bus stop and market,39914731,Vikram,,Wyndham,-37.91060304631098,144.74077192775675,Private room,46,1,0,,,1,364
11193241,The Green Living Place,58279579,Dileep,,Wyndham,-37.838277368991704,144.65610492127104,Private room,50,5,0,,,1,365
14634057,4 BR & 2 Bath house in Williams Landing,8668696,Qiaoling,,Wyndham,-37.86063725343979,144.75182599190322,Entire home/apt,189,1,27,2017-03-18,3.84,2,319
8309844,Double Room with Ensuite Bathroom,34107892,Neeraj,,Wyndham,-37.90387771931569,144.73113452573594,Private room,37,14,0,,,1,0
1630761,Private Ensuite room 3 point cook,8623584,Michael,,Wyndham,-37.900066037153096,144.74145672637462,Private room,52,3,10,2017-03-04,0.38,4,181
12078354,舒适安静小区，经典澳洲式洋房，前后花园550平，设施齐全,64728039,云新,,Wyndham,-37.84461202695289,144.73623694587243,Private room,55,1,0,,,1,365
17080990,Lovely modern living with green outdoor area,114603902,Deepa,,Wyndham,-37.861339788711696,144.59993760444655,Private room,30,1,0,,,1,338
17982151,位于wyndham vale环境优美house -2,77994373,Jessie,,Wyndham,-37.88584563232679,144.6149055338225,Private room,35,1,1,2017-04-02,1,3,181
12597140,private room for rental,56283032,Fiona,,Wyndham,-37.89924858988196,144.7310991664005,Private room,39,1,14,2016-09-24,1.22,1,315
16077047,"Brand New Built house , share with friendly couple",100256427,Moc,,Wyndham,-37.873153847819935,144.59472164545963,Private room,35,2,8,2017-03-30,2.70,2,72
14819923,Clean & Comfy Room In A New House,16319616,Airin,,Wyndham,-37.840540441902405,144.74237542440443,Private room,55,1,3,2016-10-09,0.48,4,335
12799502,Quiet room in Sanctuary Lakes,69731370,Ulrich,,Wyndham,-37.890519495564426,144.77391742194322,Private room,47,2,12,2017-03-05,1.24,1,315
12669480,Clean Private Room In A New House,16319616,Airin,,Wyndham,-37.84151399184724,144.74104956367475,Private room,41,1,13,2017-03-16,1.19,4,336
16846657,2BR with private bath@Point Cook,106791831,Hao,,Wyndham,-37.88841987332762,144.74776287008004,Private room,41,3,6,2017-03-19,2.73,1,53
17683126,Brand new home,120433497,Umberto,,Wyndham,-37.91866414812509,144.74843194786254,Entire home/apt,50,1,0,,,1,39
6944782,VILLA STONEYFELL 18 MELBOURNE 4bdrm,15651267,Serviced Houses Australia Hosted By,,Wyndham,-37.907424319568854,144.7768977221328,Entire home/apt,215,2,5,2016-12-27,0.29,46,191
17980111,Modern Comfortable Cosy Room with Comfy Beds!,19362358,Donald & Ween,,Wyndham,-37.90340223142818,144.7323559083258,Private room,121,1,0,,,3,163
17003895,步行可达火车站的别墅住房,101133439,Celine,,Wyndham,-37.86383039301438,144.7370247696784,Private room,75,1,0,,,1,337
